"feed_tables","DM %","CP %","CF %","CFat %","Ash %","Insol. ash %","NDF %","ADF %","Lignin %","WICW %","Starch %","Starch (enz.) %","Sugars %","Lactose %","GE kcal/kg","GE MJ/kg"
"Maize,_high_moisture",100,9.2,2.6,3.9,1.6,0.06,12.4,3.1,0.6,9.6,73.7,68.6,2,NA,4440,18.6
"Manganese_carbonate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Manganese_chloride_dihydrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Manganese_chloride_tetrahydrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Manganese_methionine",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Manganese_oxide_MnO",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Manganese_oxide_MnO-Mn2O3",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Manganese_oxide_MnO2",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Manganese_proteinate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Manganese_sulfate_monohydrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Mealworm_larvae,_dried",100,50.4,5.1,35.6,3.6,0.2,12,6.7,0,11.2,0,0,0,NA,6630,27.8
"Methionine_Hydroxy_Analog_MHA",100,0,0,0,0,0,0,0,0,0,0,0,0,NA,5670,23.7
"Milk_powder,_skimmed",100,36,0,1.6,8.5,0,0,0,0,0,0,0,50.5,50.5,4370,18.3
"Milk_powder,_whole",100,25.4,0,25.1,6.5,0,0,0,0,0,0,0,34.9,34.9,5540,23.2
"Millet,_pearl",100,12.5,3.2,4.8,2.8,0.6,17.2,4.5,1,16.3,67.1,64.9,2.2,NA,4560,19.1
"Millet,_proso",100,14.2,7.4,5.6,4,0.6,23.2,12,2.3,32.2,64.2,61.7,1.9,NA,4610,19.3
"Molasses,_beet",100,14.2,0,0.2,12.7,0.01,0,0,0,0,0,0,63.5,NA,3690,15.5
"Molasses,_sugarcane",100,5.8,0,1.4,14.3,0.2,0.3,0.1,0.1,0,0,0,63.3,NA,3560,14.9
"Molybdenum_metal",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Molybdenum_trioxide",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Monoammonium_phosphate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Monocalcium_phosphate",100,0,0,0,81.7,0.6,0,0,0,0,0,0,0,NA,0,0
"Monodicalcium_phosphate",100,0,0,0,83.9,0.5,0,0,0,0,0,0,0,NA,0,0
"Monosodium_phosphate_anhydrous",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Monosodium_phosphate_anhydrous_FG",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Monosodium_phosphate_hydrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Monosodium_phosphate_hydrate_FG",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Mustard_bran",100,18.2,21,15.6,14.2,1.1,46.9,33.9,16.2,48.2,6,1.6,4.5,NA,4790,20
"Oat_groats",100,12.8,4.5,3.1,2.5,1.2,12.8,5.3,1.9,24.5,61.5,58.3,1.6,NA,4500,18.8
"Oat_hulls",100,5.2,30.4,2.6,4.8,2.9,71.9,36.8,7,69.8,14,13.3,1.8,NA,4420,18.5
"Oats",100,10.8,13.1,5.4,2.9,1.2,35.7,16.3,2.6,35.7,42.1,39.9,1.5,NA,4650,19.5
"Oats,_flaked",100,10.8,13.1,5.4,2.9,1.2,35.7,16.3,2.6,35.7,42.1,39.9,1.5,NA,4650,19.5
"Olive_oil_cake,_with_pits,_oil_<_5%",100,11.5,39.9,2.7,7.8,0.3,70,54.4,27.1,69.1,0,0,4.3,NA,4470,18.7
